layer,scenario,test,name,size,messages
zenoh-net,myTestConfig,throughput,20220222.011034,1024000,25
zenoh-net,myTestConfig,throughput,20220222.011034,1024000,3870
zenoh-net,myTestConfig,throughput,20220222.011034,1024000,3348
zenoh-net,myTestConfig,throughput,20220222.011034,1024000,3453
zenoh-net,myTestConfig,throughput,20220222.011034,1024000,3440
zenoh-net,myTestConfig,throughput,20220222.011034,1024000,3417
zenoh-net,myTestConfig,throughput,20220222.011034,1024000,3480
zenoh-net,myTestConfig,throughput,20220222.011034,1024000,3670
zenoh-net,myTestConfig,throughput,20220222.011034,1024000,2157
zenoh-net,myTestConfig,throughput,20220222.011034,1024000,1464
zenoh-net,myTestConfig,throughput,20220222.011034,1024000,1787
zenoh-net,myTestConfig,throughput,20220222.011034,1024000,2202
zenoh-net,myTestConfig,throughput,20220222.011034,1024000,3224
zenoh-net,myTestConfig,throughput,20220222.011034,1024000,3182
zenoh-net,myTestConfig,throughput,20220222.011034,1024000,3735
