# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        9.617      484.637
       0.004        0.000        9.617      484.637
       0.010        0.000        9.617      484.637
       0.015        0.000        9.617      484.637
       0.019        0.000        9.617      484.637
       0.025        0.000        9.617      484.637
       0.029        0.000        9.617      484.637
       0.033        0.000        9.617      484.637
       0.038        0.000        9.617      484.637
       0.043        0.000        9.617      484.637
       0.047        0.000        9.617      484.637
       0.051        0.000        9.617      484.637
       0.056        0.000        9.617      484.637
       0.061        0.000        9.617      484.637
       0.065        0.000        9.617      484.637
       0.069        0.000        9.617      484.637
       0.073        0.000        9.617      484.637
       0.077        0.000        9.617      484.637
       0.081        0.000        9.617      484.637
       0.086        0.000        9.617      484.637
       0.091        0.000        9.617      484.637
       0.096        0.000        9.617      484.637
       0.101        0.000        9.617      484.637
       0.105        0.000        9.617      484.637
       0.109        0.000        9.617      484.637
       0.113        0.000        9.617      484.637
       0.117        0.000        9.617      484.637
       0.120        0.000        9.617      484.637
       0.125        0.000        9.617      484.637
       0.129        0.000        9.617      484.637
       0.133        0.000        9.617      484.637
       0.137        0.000        9.617      484.637
       0.141        0.000        9.617      484.637
       0.145        0.000        9.617      484.637
       0.149        0.000        9.617      484.637
       0.153        0.000        9.617      484.637
       0.157        0.000        9.617      484.637
       0.161        0.000        9.617      484.637
       0.165        0.000        9.617      484.637
       0.169        0.000        9.617      484.637
       0.173        0.000        9.617      484.637
       0.177        0.000        9.617      484.637
       0.181        0.000        9.617      484.637
       0.185        0.000        9.617      484.637
       0.188        0.000        9.617      484.637
       0.192        0.000        9.617      484.637
       0.196        0.000        9.617      484.637
       0.200        0.000        9.617      484.637
       0.204        0.000        9.617      484.637
       0.208        0.000        9.617      484.637
       0.212        0.000        9.617      484.637
       0.215        0.000        9.617      484.637
       0.219        0.000        9.617      484.637
       0.223        0.000        9.617      484.637
       0.227        0.000        9.617      484.637
       0.231        0.000        9.617      484.637
       0.235        0.000        9.617      484.637
       0.239        0.000        9.617      484.637
       0.243        0.000        9.617      484.637
       0.247        0.000        9.617      484.637
